Model, 128, 256, 512, 1024, 2046, 4096
qwen2 14B Q8_0,3850.69,6332.85,9165.51,9171.27,9176.25,9174.96
qwen2 14B Q6_K,2409.45,4227.88,6607.55,6609.47,6613.72,6599.67
qwen2 14B Q5_K - Small,2425.38,4285.08,6789.25,6790.52,6790.13,6780.64
qwen2 14B Q5_0,2949.41,5057.86,7702.52,7716.39,7704.92,7685.22
qwen2 14B Q5_K - Medium,2408.29,4264.11,6771.51,6778.75,6779.16,6770.54
qwen2 14B IQ4_XS - 4.25 bpw,2400.08,4247.59,6723.52,6730.29,6725.05,6732.74
qwen2 14B Q4_K - Small,2422.45,4287.35,6811.83,6816.82,6822.22,6812.85
qwen2 14B IQ4_NL - 4.5 bpw,2403.69,4235.04,6726.47,6725.06,6719.16,6728.75
qwen2 14B Q4_0,2412.38,4262.64,6802.25,6807.17,6805.37,6804.41
qwen2 14B Q4_K - Medium,2421.30,4291.09,6815.02,6817.43,6818.08,6817.81
